Time XAccel YAccel ZAccel
227.434 1.640 2.120 2.840
227.707 1.640 2.040 2.840
227.982 1.640 2.040 2.760
228.255 1.640 2.040 2.760
228.528 1.640 2.040 2.760
228.803 1.640 2.040 2.760
229.076 1.640 2.040 2.760
229.351 1.560 2.040 2.760
229.624 1.640 2.120 2.760
229.905 1.640 2.120 2.760
230.178 1.640 2.040 2.760
230.452 1.640 2.120 2.680
230.726 1.480 1.880 2.680
231.000 1.640 2.120 2.680
231.274 1.640 2.040 2.760
231.547 1.800 2.040 2.680
231.822 1.800 1.720 2.840
232.095 1.480 1.880 2.440
232.369 1.640 1.880 2.440
232.643 1.640 1.640 2.360
232.916 1.800 1.720 2.600
233.191 1.800 1.720 2.680
233.471 1.720 1.880 2.600
233.745 1.720 1.800 2.600
234.019 1.880 1.880 2.680
234.292 1.800 1.880 2.760
234.566 1.720 1.640 2.520
234.840 1.800 1.880 2.440
235.114 1.640 1.960 2.440
235.388 1.640 1.880 2.600
235.662 1.800 1.880 2.520
235.935 1.640 2.040 2.680
236.209 1.800 1.720 2.520
236.483 1.960 1.960 2.520
236.757 1.800 1.880 2.760
237.031 1.800 1.880 2.520
237.311 1.800 1.880 2.600
237.585 1.720 2.120 2.680
237.859 1.800 2.040 2.840
238.132 2.040 1.800 2.600
238.406 1.880 1.800 2.360
238.680 1.800 1.640 2.680
238.954 1.800 2.040 2.680
239.228 1.560 1.640 2.680
